bus,gnn_type,train_set,test_dir,label,MSE,RMSE,NRMSE,MAE,R2
57,GCN,train_normal,test_indist,In-dist (baseline),0.5535113215446472,0.7439834148317066,0.08573193595028761,0.33999010920524597,0.9215594530105591
57,GCN,train_normal,test_topo,Topology (unseen lines),1.8667685985565186,1.36629740487074,0.16143124982796883,0.5102105140686035,0.6808260679244995
57,GCN,train_normal,test_load_tail,Load Tail [40–80%],3.2358808517456055,1.7988554282503098,0.16808122881108117,0.8899509906768799,0.6854240894317627
57,GCN,train_normal,test_load_extreme,Load Extreme [80–120%],10.941702842712402,3.307824487894181,0.24037817368850856,1.684489130973816,0.17854544520378113
57,GCN,train_normal,test_corr,Correlated Loads,2.402620553970337,1.5500388878896996,0.1413179814461925,0.7271603941917419,0.7866120338439941
57,GraphConv,train_normal,test_indist,In-dist (baseline),0.013038582168519497,0.11418661116137696,0.013158141753310449,0.050909481942653656,0.9953180551528931
57,GraphConv,train_normal,test_topo,Topology (unseen lines),0.5982429385185242,0.7734616593720235,0.09138631305404044,0.26777923107147217,0.9637996554374695
57,GraphConv,train_normal,test_load_tail,Load Tail [40–80%],0.18456529080867767,0.42961062697363256,0.04014190410079985,0.18028847873210907,0.9819321036338806
57,GraphConv,train_normal,test_load_extreme,Load Extreme [80–120%],1.4321612119674683,1.1967293812585484,0.08696580611187232,0.5096444487571716,0.9548517465591431
57,GraphConv,train_normal,test_corr,Correlated Loads,0.18357817828655243,0.4284602411969545,0.03906297892844289,0.16322669386863708,0.9815595149993896
57,SAGEConv,train_normal,test_indist,In-dist (baseline),0.17427614331245422,0.41746394252971625,0.04810590030506001,0.216421440243721,0.9899958372116089
57,SAGEConv,train_normal,test_topo,Topology (unseen lines),1.1602483987808228,1.077148271493216,0.1272676000827483,0.39450380206108093,0.9483466148376465
57,SAGEConv,train_normal,test_load_tail,Load Tail [40–80%],1.9444425106048584,1.3944326841425005,0.13029282696329733,0.6609111428260803,0.9577393531799316
57,SAGEConv,train_normal,test_load_extreme,Load Extreme [80–120%],12.765274047851562,3.5728523686057283,0.2596376350580973,1.63430917263031,0.8845287561416626
57,SAGEConv,train_normal,test_corr,Correlated Loads,1.4389731884002686,1.1995720855372838,0.10936571143587426,0.5166842341423035,0.9742485880851746
57,GATConv,train_normal,test_indist,In-dist (baseline),0.9254078269004822,0.9619811988290011,0.11085261966766367,0.4689345359802246,0.8317561745643616
57,GATConv,train_normal,test_topo,Topology (unseen lines),2.092438220977783,1.4465262600373985,0.1709104776415107,0.615481972694397,0.33491113781929016
57,GATConv,train_normal,test_load_tail,Load Tail [40–80%],5.026848793029785,2.242063512264937,0.20949365040442866,1.24616539478302,0.2573803961277008
57,GATConv,train_normal,test_load_extreme,Load Extreme [80–120%],16.83771324157715,4.103378271811795,0.29819072279713466,2.3235626220703125,-1.1602810621261597
57,GATConv,train_normal,test_corr,Correlated Loads,2.7957522869110107,1.6720503242758606,0.15244183778176967,0.8310515880584717,0.06883510947227478
57,ChebConv,train_normal,test_indist,In-dist (baseline),0.004902876913547516,0.07002054636710225,0.008068724217066676,0.03262161463499069,0.9954584240913391
57,ChebConv,train_normal,test_topo,Topology (unseen lines),0.5417691469192505,0.7360496905231674,0.08696600099879852,0.21507403254508972,0.9680641889572144
57,ChebConv,train_normal,test_load_tail,Load Tail [40–80%],0.07420720160007477,0.2724099880695911,0.025453410438705693,0.12057550996541977,0.98283851146698
57,ChebConv,train_normal,test_load_extreme,Load Extreme [80–120%],0.578738272190094,0.7607484947011687,0.055283263807314485,0.33513468503952026,0.9582157135009766
57,ChebConv,train_normal,test_corr,Correlated Loads,0.08855560421943665,0.29758293670746083,0.027130816043965583,0.11420232802629471,0.9819600582122803
57,MPN,train_normal,test_indist,In-dist (baseline),0.006811471655964851,0.08253164033244978,0.009510423433907192,0.042501892894506454,0.9760513305664062
57,MPN,train_normal,test_topo,Topology (unseen lines),0.13828440010547638,0.37186610507745443,0.043936854375414364,0.07323704659938812,0.9446719288825989
57,MPN,train_normal,test_load_tail,Load Tail [40–80%],0.16497254371643066,0.4061681224769254,0.03795148629382334,0.1977720409631729,0.9593074321746826
57,MPN,train_normal,test_load_extreme,Load Extreme [80–120%],1.1884921789169312,1.0901798837425551,0.07922290024910453,0.5337343811988831,0.9207283854484558
57,MPN,train_normal,test_corr,Correlated Loads,0.15730707347393036,0.3966195576039214,0.036160044577318064,0.16976657509803772,0.9279817342758179
57,GCN,train_n,test_nk1,N-1,2.4933300018310547,1.5790281827222257,0.1866267698911772,0.4836259186267853,0.9164166450500488
